Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Lun. 1,8 °C,1.5 °C,0.2 mm,0.7 h,,2025,12
Mar. 2,10.1 °C,7 °C,0 mm (Tr),0.3 h,,2025,12
Mer. 3,10.4 °C,6.4 °C,0 mm,2 h,,2025,12
Jeu. 4,9.6 °C,5.5 °C,1 mm,1.5 h,,2025,12
Ven. 5,9.5 °C,1.6 °C,2.6 mm,2.8 h,,2025,12
Sam. 6,13.6 °C,5.8 °C,2 mm,3.2 h,,2025,12
Dim. 7,14.6 °C,10.5 °C,9.3 mm,0 h,,2025,12
Lun. 8,15.9 °C,13.3 °C,0 mm,2.5 h,,2025,12
Mar. 9,15.5 °C,9.2 °C,1.2 mm,6.9 h,,2025,12
Mer. 10,14.4 °C,11.7 °C,0.2 mm,0.5 h,,2025,12
Jeu. 11,10.4 °C,5.4 °C,0 mm (Tr),0 h,,2025,12
Ven. 12,11.8 °C,9.7 °C,0 mm,0 h,,2025,12
Sam. 13,10.3 °C,8.6 °C,0 mm,0.2 h,,2025,12
Dim. 14,7.7 °C,6.5 °C,0 mm,0 h,,2025,12
Lun. 15,11.1 °C,4.8 °C,0.4 mm,2.1 h,,2025,12
Mar. 16,14.8 °C,9.7 °C,0 mm (Tr),3.2 h,,2025,12
Mer. 17,10.8 °C,9 °C,0 mm,0.9 h,,2025,12
Jeu. 18,15.2 °C,7.1 °C,2.8 mm,4.3 h,,2025,12
Ven. 19,11.7 °C,10 °C,1.6 mm,0.1 h,,2025,12
Sam. 20,10.3 °C,8.4 °C,2.2 mm,0 h,,2025,12
Dim. 21,11.2 °C,8.7 °C,15.5 mm,0 h,,2025,12
Lun. 22,9.9 °C,7.9 °C,0 mm (Tr),0 h,,2025,12
Mar. 23,---,5.8 °C,---,,,2025,12
